run,iter,eval_seed,clear_rate,status
mario_1_1_v33_capacity_seed0,10,0,0.0,ok
mario_1_1_v33_capacity_seed0,10,1,0.0,ok
mario_1_1_v33_capacity_seed0,20,0,0.0,ok
mario_1_1_v33_capacity_seed0,20,1,0.0,ok
mario_1_1_v33_capacity_seed0,30,0,0.0,ok
mario_1_1_v33_capacity_seed0,30,1,0.0,ok
mario_1_1_v33_capacity_seed0,40,0,0.0,ok
mario_1_1_v33_capacity_seed0,40,1,0.0,ok
mario_1_1_v33_capacity_seed0,50,0,0.0,ok
mario_1_1_v33_capacity_seed0,50,1,0.0,ok
mario_1_1_v33_capacity_seed0,60,0,0.0,ok
mario_1_1_v33_capacity_seed0,60,1,0.0,ok
mario_1_1_v33_capacity_seed0,70,0,0.0,ok
mario_1_1_v33_capacity_seed0,70,1,0.0,ok
mario_1_1_v33_capacity_seed0,80,0,0.0,ok
mario_1_1_v33_capacity_seed0,80,1,0.0,ok
mario_1_1_v33_capacity_seed0,90,0,0.84,ok
mario_1_1_v33_capacity_seed0,90,1,0.72,ok
mario_1_1_v33_capacity_seed0,100,0,0.64,ok
mario_1_1_v33_capacity_seed0,100,1,0.7,ok
mario_1_1_v33_capacity_seed0,110,0,0.66,ok
mario_1_1_v33_capacity_seed0,110,1,0.64,ok
mario_1_1_v33_capacity_seed0,120,0,0.74,ok
mario_1_1_v33_capacity_seed0,120,1,0.66,ok
mario_1_1_v33_capacity_seed0,130,0,0.0,ok
mario_1_1_v33_capacity_seed0,130,1,0.0,ok
mario_1_1_v33_capacity_seed0,140,0,0.18,ok
mario_1_1_v33_capacity_seed0,140,1,0.14,ok
mario_1_1_v33_capacity_seed0,150,0,0.24,ok
mario_1_1_v33_capacity_seed0,150,1,0.3,ok
mario_1_1_v33_capacity_seed0,160,0,0.02,ok
mario_1_1_v33_capacity_seed0,160,1,0.02,ok
mario_1_1_v33_capacity_seed0,170,0,0.0,ok
mario_1_1_v33_capacity_seed0,170,1,0.0,ok
mario_1_1_v33_capacity_seed0,180,0,0.0,ok
mario_1_1_v33_capacity_seed0,180,1,0.0,ok
mario_1_1_v33_capacity_seed0,190,0,0.0,ok
mario_1_1_v33_capacity_seed0,190,1,0.0,ok
mario_1_1_v33_capacity_seed0,200,0,0.0,ok
mario_1_1_v33_capacity_seed0,200,1,0.0,ok
mario_1_1_v33_capacity_seed0,210,0,0.0,ok
mario_1_1_v33_capacity_seed0,210,1,0.0,ok
mario_1_1_v33_capacity_seed0,220,0,0.02,ok
mario_1_1_v33_capacity_seed0,220,1,0.0,ok
mario_1_1_v33_capacity_seed0,230,0,0.0,ok
mario_1_1_v33_capacity_seed0,230,1,0.0,ok
mario_1_1_v33_capacity_seed0,240,0,0.0,ok
mario_1_1_v33_capacity_seed0,240,1,0.0,ok
mario_1_1_v33_capacity_seed1,10,0,0.0,ok
mario_1_1_v33_capacity_seed1,10,1,0.0,ok
mario_1_1_v33_capacity_seed1,20,0,0.0,ok
mario_1_1_v33_capacity_seed1,20,1,0.0,ok
mario_1_1_v33_capacity_seed1,30,0,0.0,ok
mario_1_1_v33_capacity_seed1,30,1,0.0,ok
mario_1_1_v33_capacity_seed1,40,0,0.0,ok
mario_1_1_v33_capacity_seed1,40,1,0.0,ok
mario_1_1_v33_capacity_seed1,50,0,0.1,ok
mario_1_1_v33_capacity_seed1,50,1,0.16,ok
mario_1_1_v33_capacity_seed1,60,0,0.18,ok
mario_1_1_v33_capacity_seed1,60,1,0.2,ok
mario_1_1_v33_capacity_seed1,70,0,0.42,ok
mario_1_1_v33_capacity_seed1,70,1,0.36,ok
mario_1_1_v33_capacity_seed1,80,0,0.36,ok
mario_1_1_v33_capacity_seed1,80,1,0.26,ok
mario_1_1_v33_capacity_seed1,90,0,0.28,ok
mario_1_1_v33_capacity_seed1,90,1,0.22,ok
mario_1_1_v33_capacity_seed1,100,0,0.46,ok
mario_1_1_v33_capacity_seed1,100,1,0.52,ok
mario_1_1_v33_capacity_seed1,110,0,0.3,ok
mario_1_1_v33_capacity_seed1,110,1,0.48,ok
mario_1_1_v33_capacity_seed1,120,0,0.46,ok
mario_1_1_v33_capacity_seed1,120,1,0.5,ok
mario_1_1_v33_capacity_seed1,130,0,0.44,ok
mario_1_1_v33_capacity_seed1,130,1,0.36,ok
mario_1_1_v33_capacity_seed1,140,0,0.5,ok
mario_1_1_v33_capacity_seed1,140,1,0.56,ok
mario_1_1_v33_capacity_seed1,150,0,0.38,ok
mario_1_1_v33_capacity_seed1,150,1,0.6,ok
mario_1_1_v33_capacity_seed1,160,0,0.42,ok
mario_1_1_v33_capacity_seed1,160,1,0.4,ok
mario_1_1_v33_capacity_seed1,170,0,0.38,ok
mario_1_1_v33_capacity_seed1,170,1,0.36,ok
mario_1_1_v33_capacity_seed1,180,0,0.28,ok
mario_1_1_v33_capacity_seed1,180,1,0.26,ok
mario_1_1_v33_capacity_seed1,190,0,0.34,ok
mario_1_1_v33_capacity_seed1,190,1,0.32,ok
mario_1_1_v33_capacity_seed1,200,0,0.3,ok
mario_1_1_v33_capacity_seed1,200,1,0.32,ok
mario_1_1_v33_capacity_seed1,210,0,0.26,ok
mario_1_1_v33_capacity_seed1,210,1,0.18,ok
mario_1_1_v33_capacity_seed1,220,0,0.04,ok
mario_1_1_v33_capacity_seed1,220,1,0.06,ok
mario_1_1_v33_capacity_seed1,230,0,0.02,ok
mario_1_1_v33_capacity_seed1,230,1,0.0,ok
mario_1_1_v33_capacity_seed1,240,0,0.04,ok
mario_1_1_v33_capacity_seed1,240,1,0.04,ok
mario_1_1_v33_capacity_seed2,10,0,0.0,ok
mario_1_1_v33_capacity_seed2,10,1,0.0,ok
mario_1_1_v33_capacity_seed2,20,0,0.0,ok
mario_1_1_v33_capacity_seed2,20,1,0.0,ok
mario_1_1_v33_capacity_seed2,30,0,0.0,ok
mario_1_1_v33_capacity_seed2,30,1,0.0,ok
mario_1_1_v33_capacity_seed2,40,0,0.02,ok
mario_1_1_v33_capacity_seed2,40,1,0.02,ok
mario_1_1_v33_capacity_seed2,50,0,0.0,ok
mario_1_1_v33_capacity_seed2,50,1,0.02,ok
mario_1_1_v33_capacity_seed2,60,0,0.24,ok
mario_1_1_v33_capacity_seed2,60,1,0.18,ok
mario_1_1_v33_capacity_seed2,70,0,0.24,ok
mario_1_1_v33_capacity_seed2,70,1,0.24,ok
mario_1_1_v33_capacity_seed2,80,0,0.26,ok
mario_1_1_v33_capacity_seed2,80,1,0.36,ok
mario_1_1_v33_capacity_seed2,90,0,0.34,ok
mario_1_1_v33_capacity_seed2,90,1,0.36,ok
mario_1_1_v33_capacity_seed2,100,0,0.5,ok
mario_1_1_v33_capacity_seed2,100,1,0.4,ok
mario_1_1_v33_capacity_seed2,110,0,0.42,ok
mario_1_1_v33_capacity_seed2,110,1,0.32,ok
mario_1_1_v33_capacity_seed2,120,0,0.28,ok
mario_1_1_v33_capacity_seed2,120,1,0.24,ok
mario_1_1_v33_capacity_seed2,130,0,0.42,ok
mario_1_1_v33_capacity_seed2,130,1,0.44,ok
mario_1_1_v33_capacity_seed2,140,0,0.34,ok
mario_1_1_v33_capacity_seed2,140,1,0.48,ok
mario_1_1_v33_capacity_seed2,150,0,0.42,ok
mario_1_1_v33_capacity_seed2,150,1,0.56,ok
mario_1_1_v33_capacity_seed2,160,0,0.32,ok
mario_1_1_v33_capacity_seed2,160,1,0.2,ok
mario_1_1_v33_capacity_seed2,170,0,0.32,ok
mario_1_1_v33_capacity_seed2,170,1,0.4,ok
mario_1_1_v33_capacity_seed2,180,0,0.36,ok
mario_1_1_v33_capacity_seed2,180,1,0.44,ok
mario_1_1_v33_capacity_seed2,190,0,0.34,ok
mario_1_1_v33_capacity_seed2,190,1,0.42,ok
mario_1_1_v33_capacity_seed2,200,0,0.24,ok
mario_1_1_v33_capacity_seed2,200,1,0.22,ok
mario_1_1_v33_capacity_seed2,210,0,0.22,ok
mario_1_1_v33_capacity_seed2,210,1,0.22,ok
mario_1_1_v33_capacity_seed2,220,0,0.18,ok
mario_1_1_v33_capacity_seed2,220,1,0.2,ok
mario_1_1_v33_capacity_seed2,230,0,0.18,ok
mario_1_1_v33_capacity_seed2,230,1,0.28,ok
mario_1_1_v33_capacity_seed2,240,0,0.04,ok
mario_1_1_v33_capacity_seed2,240,1,0.08,ok
mario_1_1_v33_capacity_seed3,10,0,0.0,ok
mario_1_1_v33_capacity_seed3,10,1,0.0,ok
mario_1_1_v33_capacity_seed3,20,0,0.0,ok
mario_1_1_v33_capacity_seed3,20,1,0.0,ok
mario_1_1_v33_capacity_seed3,30,0,0.0,ok
mario_1_1_v33_capacity_seed3,30,1,0.0,ok
mario_1_1_v33_capacity_seed3,40,0,0.0,ok
mario_1_1_v33_capacity_seed3,40,1,0.0,ok
mario_1_1_v33_capacity_seed3,50,0,0.02,ok
mario_1_1_v33_capacity_seed3,50,1,0.1,ok
