[go_explore_solve] progress source: PPU scroll odometer (axis x)
[seed] rooted at roms/Ninja Gaiden (USA)_start.state.bin wd=() lives=0 area=0; archive={"cells": 1, "frontier": 1, "best_score": 0, "records": 1, "new_cells": 1, "improvements": 0}
[go_explore_solve] {"t": "2026-08-23T09:55:02", "elapsed_s": 60, "cells": 1729, "max_area": 0, "max_gx_in_max_area": 4812, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 57776, "sps": 963, "stall_flat_windows": 0, "c_local": 587, "c_local_band": 25, "c_local_delta": null, "c_local_band_delta": null, "c_local_elasticity": null}
[go_explore_solve] {"t": "2026-08-23T09:56:02", "elapsed_s": 120, "cells": 2447, "max_area": 0, "max_gx_in_max_area": 5052, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 118280, "sps": 986, "stall_flat_windows": 0, "c_local": 628, "c_local_band": 25, "c_local_delta": 41, "c_local_band_delta": 0, "c_local_elasticity": 0.1944}
[go_explore_solve] {"t": "2026-08-23T09:57:02", "elapsed_s": 180, "cells": 3315, "max_area": 0, "max_gx_in_max_area": 5686, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 178368, "sps": 991, "stall_flat_windows": 0, "c_local": 674, "c_local_band": 25, "c_local_delta": 46, "c_local_band_delta": 0, "c_local_elasticity": 0.2328}
[go_explore_solve] {"t": "2026-08-23T09:58:02", "elapsed_s": 240, "cells": 3962, "max_area": 0, "max_gx_in_max_area": 5871, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 238344, "sps": 993, "stall_flat_windows": 0, "c_local": 696, "c_local_band": 25, "c_local_delta": 22, "c_local_band_delta": 0, "c_local_elasticity": 0.1802}
[go_explore_solve] {"t": "2026-08-23T09:59:02", "elapsed_s": 300, "cells": 4607, "max_area": 0, "max_gx_in_max_area": 5888, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 296448, "sps": 988, "stall_flat_windows": 0, "c_local": 701, "c_local_band": 25, "c_local_delta": 5, "c_local_band_delta": 0, "c_local_elasticity": 0.0475}
[go_explore_solve] {"t": "2026-08-23T10:00:02", "elapsed_s": 360, "cells": 5210, "max_area": 0, "max_gx_in_max_area": 5888, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 351680, "sps": 977, "stall_flat_windows": 0, "c_local": 708, "c_local_band": 25, "c_local_delta": 7, "c_local_band_delta": 0, "c_local_elasticity": 0.0808}
[go_explore_solve] {"t": "2026-08-23T10:01:02", "elapsed_s": 420, "cells": 5749, "max_area": 0, "max_gx_in_max_area": 5888, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 406952, "sps": 969, "stall_flat_windows": 0, "c_local": 712, "c_local_band": 25, "c_local_delta": 4, "c_local_band_delta": 0, "c_local_elasticity": 0.0572}
[go_explore_solve] {"t": "2026-08-23T10:02:02", "elapsed_s": 480, "cells": 6184, "max_area": 0, "max_gx_in_max_area": 5888, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 463808, "sps": 966, "stall_flat_windows": 0, "c_local": 715, "c_local_band": 25, "c_local_delta": 3, "c_local_band_delta": 0, "c_local_elasticity": 0.0576}
[go_explore_solve] {"t": "2026-08-23T10:03:02", "elapsed_s": 540, "cells": 6766, "max_area": 0, "max_gx_in_max_area": 5888, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 524136, "sps": 971, "stall_flat_windows": 0, "c_local": 720, "c_local_band": 25, "c_local_delta": 5, "c_local_band_delta": 0, "c_local_elasticity": 0.0775}
[go_explore_solve] {"t": "2026-08-23T10:04:02", "elapsed_s": 600, "cells": 7322, "max_area": 0, "max_gx_in_max_area": 5888, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 584496, "sps": 974, "stall_flat_windows": 0, "c_local": 724, "c_local_band": 25, "c_local_delta": 4, "c_local_band_delta": 0, "c_local_elasticity": 0.0702}
[go_explore_solve] {"t": "2026-08-23T10:05:02", "elapsed_s": 660, "cells": 7884, "max_area": 0, "max_gx_in_max_area": 5888, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 644904, "sps": 977, "stall_flat_windows": 0, "c_local": 725, "c_local_band": 25, "c_local_delta": 1, "c_local_band_delta": 0, "c_local_elasticity": 0.0187}
