[go_explore_solve] progress source: PPU scroll odometer (axis x)
[seed] RESUMED archive from runs/ng_odo_v2: 8329 cells, 8329 traces, max_area=0, max_sect=0, c_local=739
[seed] rooted at roms/Ninja Gaiden (USA)_start.state.bin wd=() lives=0 area=0; archive={"cells": 8329, "frontier": 8105, "best_score": 5838, "records": 1, "new_cells": 1, "improvements": 0}
[go_explore_solve] {"t": "2026-08-23T21:57:10", "elapsed_s": 60, "cells": 9140, "max_area": 0, "max_gx_in_max_area": 5888, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 92890, "sps": 1548, "stall_flat_windows": 0, "c_local": 743, "c_local_band": 25, "c_local_delta": null, "c_local_band_delta": null, "c_local_elasticity": null}
[go_explore_solve] {"t": "2026-08-23T21:58:10", "elapsed_s": 120, "cells": 10150, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 187220, "sps": 1560, "stall_flat_windows": 0, "c_local": 746, "c_local_band": 10, "c_local_delta": 3, "c_local_band_delta": -15, "c_local_elasticity": 0.0384}
[go_explore_solve] {"t": "2026-08-23T21:59:10", "elapsed_s": 180, "cells": 10936, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 281950, "sps": 1566, "stall_flat_windows": 0, "c_local": 748, "c_local_band": 10, "c_local_delta": 2, "c_local_band_delta": 0, "c_local_elasticity": 0.0359}
[go_explore_solve] {"t": "2026-08-23T22:00:10", "elapsed_s": 240, "cells": 11721, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 377100, "sps": 1571, "stall_flat_windows": 0, "c_local": 748, "c_local_band": 10, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T22:01:10", "elapsed_s": 300, "cells": 12468, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 469140, "sps": 1564, "stall_flat_windows": 0, "c_local": 751, "c_local_band": 10, "c_local_delta": 3, "c_local_band_delta": 0, "c_local_elasticity": 0.0648}
[go_explore_solve] {"t": "2026-08-23T22:02:10", "elapsed_s": 360, "cells": 13220, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 563770, "sps": 1566, "stall_flat_windows": 0, "c_local": 753, "c_local_band": 10, "c_local_delta": 2, "c_local_band_delta": 0, "c_local_elasticity": 0.0454}
[go_explore_solve] {"t": "2026-08-23T22:03:10", "elapsed_s": 420, "cells": 13894, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 658610, "sps": 1568, "stall_flat_windows": 0, "c_local": 753, "c_local_band": 10, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T22:04:10", "elapsed_s": 480, "cells": 14476, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 753630, "sps": 1570, "stall_flat_windows": 0, "c_local": 754, "c_local_band": 10, "c_local_delta": 1, "c_local_band_delta": 0, "c_local_elasticity": 0.0323}
[go_explore_solve] {"t": "2026-08-23T22:05:10", "elapsed_s": 540, "cells": 15104, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 848950, "sps": 1572, "stall_flat_windows": 0, "c_local": 754, "c_local_band": 10, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T22:06:10", "elapsed_s": 600, "cells": 15637, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 944870, "sps": 1575, "stall_flat_windows": 0, "c_local": 755, "c_local_band": 10, "c_local_delta": 1, "c_local_band_delta": 0, "c_local_elasticity": 0.0382}
[go_explore_solve] {"t": "2026-08-23T22:07:10", "elapsed_s": 660, "cells": 16158, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 1041260, "sps": 1578, "stall_flat_windows": 0, "c_local": 756, "c_local_band": 10, "c_local_delta": 1, "c_local_band_delta": 0, "c_local_elasticity": 0.0404}
