[go_explore_solve] progress source: PPU scroll odometer (axis x)
[seed] RESUMED archive from runs/rygar_odo_debounce: 911 cells, 911 traces, max_area=0, max_sect=0, c_local=419
[seed] rooted at roms/Rygar (USA)_start.state.bin wd=() lives=1 area=0; archive={"cells": 911, "frontier": 492, "best_score": 5360, "records": 1, "new_cells": 1, "improvements": 0}
[go_explore_solve] {"t": "2026-08-23T11:54:03", "elapsed_s": 60, "cells": 958, "max_area": 0, "max_gx_in_max_area": 5481, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 69344, "sps": 1156, "stall_flat_windows": 0, "c_local": 442, "c_local_band": 61, "c_local_delta": null, "c_local_band_delta": null, "c_local_elasticity": null}
[go_explore_solve] {"t": "2026-08-23T11:55:03", "elapsed_s": 120, "cells": 975, "max_area": 0, "max_gx_in_max_area": 5545, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 138216, "sps": 1152, "stall_flat_windows": 0, "c_local": 452, "c_local_band": 63, "c_local_delta": 10, "c_local_band_delta": 2, "c_local_elasticity": 1.2719}
[go_explore_solve] {"t": "2026-08-23T11:56:03", "elapsed_s": 180, "cells": 982, "max_area": 0, "max_gx_in_max_area": 5545, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 200088, "sps": 1112, "stall_flat_windows": 0, "c_local": 454, "c_local_band": 65, "c_local_delta": 2, "c_local_band_delta": 2, "c_local_elasticity": 0.6172}
[go_explore_solve] {"t": "2026-08-23T11:57:03", "elapsed_s": 240, "cells": 991, "max_area": 0, "max_gx_in_max_area": 5545, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 265392, "sps": 1106, "stall_flat_windows": 0, "c_local": 460, "c_local_band": 71, "c_local_delta": 6, "c_local_band_delta": 6, "c_local_elasticity": 1.4391}
[go_explore_solve] {"t": "2026-08-23T11:58:03", "elapsed_s": 300, "cells": 1010, "max_area": 0, "max_gx_in_max_area": 5545, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 328384, "sps": 1095, "stall_flat_windows": 0, "c_local": 462, "c_local_band": 73, "c_local_delta": 2, "c_local_band_delta": 2, "c_local_elasticity": 0.2284}
[go_explore_solve] {"t": "2026-08-23T11:59:03", "elapsed_s": 360, "cells": 1024, "max_area": 0, "max_gx_in_max_area": 5545, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 386824, "sps": 1074, "stall_flat_windows": 0, "c_local": 462, "c_local_band": 73, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T12:00:03", "elapsed_s": 420, "cells": 1043, "max_area": 0, "max_gx_in_max_area": 5545, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 451544, "sps": 1075, "stall_flat_windows": 0, "c_local": 462, "c_local_band": 73, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T12:01:03", "elapsed_s": 480, "cells": 1047, "max_area": 0, "max_gx_in_max_area": 5545, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 520480, "sps": 1084, "stall_flat_windows": 0, "c_local": 462, "c_local_band": 73, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T12:02:03", "elapsed_s": 540, "cells": 1055, "max_area": 0, "max_gx_in_max_area": 5545, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 582184, "sps": 1078, "stall_flat_windows": 0, "c_local": 466, "c_local_band": 77, "c_local_delta": 4, "c_local_band_delta": 4, "c_local_elasticity": 1.1325}
[go_explore_solve] {"t": "2026-08-23T12:03:03", "elapsed_s": 600, "cells": 1073, "max_area": 0, "max_gx_in_max_area": 5552, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 647024, "sps": 1078, "stall_flat_windows": 0, "c_local": 473, "c_local_band": 83, "c_local_delta": 7, "c_local_band_delta": 6, "c_local_elasticity": 0.8813}
[go_explore_solve] {"t": "2026-08-23T12:04:03", "elapsed_s": 660, "cells": 1097, "max_area": 0, "max_gx_in_max_area": 5552, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 715520, "sps": 1084, "stall_flat_windows": 0, "c_local": 473, "c_local_band": 83, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T12:05:03", "elapsed_s": 720, "cells": 1126, "max_area": 0, "max_gx_in_max_area": 5552, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 775032, "sps": 1076, "stall_flat_windows": 0, "c_local": 473, "c_local_band": 83, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T12:06:03", "elapsed_s": 780, "cells": 1138, "max_area": 0, "max_gx_in_max_area": 5552, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 840376, "sps": 1077, "stall_flat_windows": 0, "c_local": 473, "c_local_band": 83, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T12:07:03", "elapsed_s": 840, "cells": 1160, "max_area": 0, "max_gx_in_max_area": 5552, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 909552, "sps": 1083, "stall_flat_windows": 0, "c_local": 475, "c_local_band": 85, "c_local_delta": 2, "c_local_band_delta": 2, "c_local_elasticity": 0.2204}
[go_explore_solve] {"t": "2026-08-23T12:08:03", "elapsed_s": 900, "cells": 1182, "max_area": 0, "max_gx_in_max_area": 5552, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 969672, "sps": 1077, "stall_flat_windows": 0, "c_local": 479, "c_local_band": 85, "c_local_delta": 4, "c_local_band_delta": 0, "c_local_elasticity": 0.4463}
[go_explore_solve] {"t": "2026-08-23T12:09:03", "elapsed_s": 960, "cells": 1200, "max_area": 0, "max_gx_in_max_area": 5552, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 1032224, "sps": 1075, "stall_flat_windows": 0, "c_local": 479, "c_local_band": 85, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T12:10:03", "elapsed_s": 1020, "cells": 1208, "max_area": 0, "max_gx_in_max_area": 5552, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 1100720, "sps": 1079, "stall_flat_windows": 0, "c_local": 479, "c_local_band": 85, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T12:11:03", "elapsed_s": 1080, "cells": 1226, "max_area": 0, "max_gx_in_max_area": 5552, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 1160640, "sps": 1075, "stall_flat_windows": 0, "c_local": 483, "c_local_band": 89, "c_local_delta": 4, "c_local_band_delta": 4, "c_local_elasticity": 0.5622}
[go_explore_solve] {"t": "2026-08-23T12:12:03", "elapsed_s": 1140, "cells": 1229, "max_area": 0, "max_gx_in_max_area": 5552, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 1226424, "sps": 1076, "stall_flat_windows": 0, "c_local": 483, "c_local_band": 89, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T12:13:03", "elapsed_s": 1200, "cells": 1238, "max_area": 0, "max_gx_in_max_area": 5552, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 1295528, "sps": 1080, "stall_flat_windows": 0, "c_local": 483, "c_local_band": 89, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T12:14:03", "elapsed_s": 1260, "cells": 1238, "max_area": 0, "max_gx_in_max_area": 5552, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 1355224, "sps": 1075, "stall_flat_windows": 1, "c_local": 483, "c_local_band": 89, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": null}
[go_explore_solve] STALL WARNING: stuck at 1238 cells for 2 min straight — possible frozen/dead state
[go_explore_solve] {"t": "2026-08-23T12:15:03", "elapsed_s": 1320, "cells": 1238, "max_area": 0, "max_gx_in_max_area": 5552, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 1422088, "sps": 1077, "stall_flat_windows": 2, "c_local": 483, "c_local_band": 89, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": null}
[go_explore_solve] {"t": "2026-08-23T12:16:03", "elapsed_s": 1380, "cells": 1244, "max_area": 0, "max_gx_in_max_area": 5552, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 1488536, "sps": 1079, "stall_flat_windows": 0, "c_local": 483, "c_local_band": 89, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T12:17:03", "elapsed_s": 1440, "cells": 1253, "max_area": 0, "max_gx_in_max_area": 5552, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 1547160, "sps": 1074, "stall_flat_windows": 0, "c_local": 483, "c_local_band": 89, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T12:18:03", "elapsed_s": 1500, "cells": 1258, "max_area": 0, "max_gx_in_max_area": 5552, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 1614424, "sps": 1076, "stall_flat_windows": 0, "c_local": 483, "c_local_band": 89, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T12:19:03", "elapsed_s": 1560, "cells": 1259, "max_area": 0, "max_gx_in_max_area": 5552, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 1683088, "sps": 1079, "stall_flat_windows": 0, "c_local": 483, "c_local_band": 89, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T12:20:03", "elapsed_s": 1620, "cells": 1261, "max_area": 0, "max_gx_in_max_area": 5552, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 1741752, "sps": 1075, "stall_flat_windows": 0, "c_local": 483, "c_local_band": 89, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T12:21:03", "elapsed_s": 1680, "cells": 1282, "max_area": 0, "max_gx_in_max_area": 5552, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 1808632, "sps": 1076, "stall_flat_windows": 0, "c_local": 487, "c_local_band": 93, "c_local_delta": 4, "c_local_band_delta": 4, "c_local_elasticity": 0.4994}
[go_explore_solve] {"t": "2026-08-23T12:22:03", "elapsed_s": 1740, "cells": 1282, "max_area": 0, "max_gx_in_max_area": 5552, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 1873848, "sps": 1077, "stall_flat_windows": 1, "c_local": 487, "c_local_band": 93, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": null}
[go_explore_solve] STALL WARNING: stuck at 1282 cells for 2 min straight — possible frozen/dead state
[go_explore_solve] {"t": "2026-08-23T12:23:03", "elapsed_s": 1800, "cells": 1282, "max_area": 0, "max_gx_in_max_area": 5552, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 1932832, "sps": 1074, "stall_flat_windows": 2, "c_local": 487, "c_local_band": 93, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": null}
[go_explore_solve] STALL WARNING: stuck at 1282 cells for 3 min straight — possible frozen/dead state
[go_explore_solve] {"t": "2026-08-23T12:24:03", "elapsed_s": 1860, "cells": 1282, "max_area": 0, "max_gx_in_max_area": 5552, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 2000584, "sps": 1076, "stall_flat_windows": 3, "c_local": 487, "c_local_band": 93, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": null}
