=== v28_seed3 (peak=90) ===
iter   entropy  rnd_loss  intrinsic  actor.bias_effLR  actor.w_effLR  rndL0_fracV0
  10     1.642  0.006389    0.01104          0.009486       0.009487             0
  20      1.44  0.005861    0.01592             1.044          2.562         0.012
  30     1.237  0.001463    0.00586             1.056          2.689        0.1647
  40    0.9534 8.964e-06  0.0001158             1.294          3.285        0.9983
  50     0.844 5.753e-06  1.507e-05             1.516          3.146        0.9887
  60    0.7425 1.294e-05  9.061e-06             1.501          2.697        0.9895
  70    0.6098 5.166e-06  8.668e-06              1.57          2.479        0.9957
  80    0.5548 2.939e-06  7.554e-06             1.577            2.5        0.9959
  90*    0.449 1.377e-06  1.306e-05             1.674           2.85         0.995
 100    0.4126  2.43e-06  7.842e-06             1.525          2.936         0.995
 110    0.3355 9.123e-07  6.699e-06             1.808          3.038        0.9961
 120    0.2851 5.008e-06  1.271e-06             1.378          2.089        0.9984
 130    0.2403 1.197e-06  1.032e-05             1.535          2.797        0.9992
 140    0.2064  5.27e-06  2.865e-05             1.573          2.428             1
 150    0.2103 3.994e-06  5.643e-06             1.744          1.796             1
 160      0.14  6.19e-06  6.489e-06             1.915           1.81             1
 170     0.107 2.846e-06  1.679e-05             1.927          1.628        0.9986
 180   0.09717 9.767e-07  2.047e-05             1.608          1.242        0.9973
 190   0.09916 1.674e-06  4.029e-05              1.71          1.271             1
 200   0.08002 1.295e-06  7.176e-05             1.544          1.106             1
 210   0.08839 2.624e-06  1.109e-05             1.648          1.392             1
 220   0.07621   1.7e-06   1.93e-06             1.486          1.303             1
 230   0.08189 1.228e-06  1.431e-05             1.671          1.189             1
 240   0.08769 2.616e-06  2.119e-05             1.566          1.245             1

=== v27_seed0 (peak=60) ===
iter   entropy  rnd_loss  intrinsic  actor.bias_effLR  actor.w_effLR  rndL0_fracV0
  10     1.591  0.004651   0.009796          0.009486       0.009487             0
  20     1.327  0.004495    0.01181             1.257          3.998       0.01245
  30     1.206  0.003269    0.01016             1.298          4.315       0.08224
  40    0.9555 0.0005918   0.002795             1.288          3.931         0.681
