seed,iter,pct_through_250,rel_to_peak,tag,status,n_episodes,clear_rate,mean_return,mean_length,checkpoint
0,20,8.0,-50,,ok,30,0.0,653.5,752.8,checkpoints/mario_1_1_v28_capacity_seed0/vanilla_ppo_iter_00020.pt
0,50,20.0,-20,,ok,30,0.2,2519.5,1036.6,checkpoints/mario_1_1_v28_capacity_seed0/vanilla_ppo_iter_00050.pt
0,60,24.0,-10,peak-10,ok,30,0.4666666666666667,2760.8,644.5,checkpoints/mario_1_1_v28_capacity_seed0/vanilla_ppo_iter_00060.pt
0,70,28.0,0,peak,ok,30,0.4666666666666667,2834.2,575.0,checkpoints/mario_1_1_v28_capacity_seed0/vanilla_ppo_iter_00070.pt
0,80,32.0,10,peak+10,ok,30,0.43333333333333335,2852.1,688.8,checkpoints/mario_1_1_v28_capacity_seed0/vanilla_ppo_iter_00080.pt
0,90,36.0,20,,ok,30,0.7333333333333333,2940.4,466.3,checkpoints/mario_1_1_v28_capacity_seed0/vanilla_ppo_iter_00090.pt
0,120,48.0,50,,ok,30,0.4,2593.9,421.6,checkpoints/mario_1_1_v28_capacity_seed0/vanilla_ppo_iter_00120.pt
0,160,64.0,90,,ok,30,0.36666666666666664,2409.3,389.5,checkpoints/mario_1_1_v28_capacity_seed0/vanilla_ppo_iter_00160.pt
0,200,80.0,130,,ok,30,0.0,973.4,727.0,checkpoints/mario_1_1_v28_capacity_seed0/vanilla_ppo_iter_00200.pt
0,240,96.0,170,,ok,30,0.0,1102.5,385.3,checkpoints/mario_1_1_v28_capacity_seed0/vanilla_ppo_iter_00240.pt
3,20,8.0,-70,,ok,30,0.0,711.2,1177.9,checkpoints/mario_1_1_v28_capacity_seed3/vanilla_ppo_iter_00020.pt
3,50,20.0,-40,,ok,30,0.6,2902.2,684.2,checkpoints/mario_1_1_v28_capacity_seed3/vanilla_ppo_iter_00050.pt
3,70,28.0,-20,,ok,30,0.23333333333333334,2855.6,1071.6,checkpoints/mario_1_1_v28_capacity_seed3/vanilla_ppo_iter_00070.pt
3,80,32.0,-10,peak-10,ok,30,0.7,2677.8,374.8,checkpoints/mario_1_1_v28_capacity_seed3/vanilla_ppo_iter_00080.pt
3,90,36.0,0,peak,ok,30,0.6666666666666666,2774.6,417.2,checkpoints/mario_1_1_v28_capacity_seed3/vanilla_ppo_iter_00090.pt
3,100,40.0,10,peak+10,ok,30,0.5333333333333333,2586.2,445.8,checkpoints/mario_1_1_v28_capacity_seed3/vanilla_ppo_iter_00100.pt
3,120,48.0,30,,ok,30,0.3333333333333333,2356.3,438.2,checkpoints/mario_1_1_v28_capacity_seed3/vanilla_ppo_iter_00120.pt
3,160,64.0,70,,ok,30,0.03333333333333333,1723.0,337.5,checkpoints/mario_1_1_v28_capacity_seed3/vanilla_ppo_iter_00160.pt
3,200,80.0,110,,ok,30,0.0,1213.8,193.9,checkpoints/mario_1_1_v28_capacity_seed3/vanilla_ppo_iter_00200.pt
3,240,96.0,150,,ok,30,0.0,1038.6,366.4,checkpoints/mario_1_1_v28_capacity_seed3/vanilla_ppo_iter_00240.pt
