
=== seed0  (bin width=150 gx, all 100 episodes incl. clears at right edge marked F) ===
         bin | PEAK                                       | FINAL                                     
 [ 150, 300) |                                 0 | ##                              2
 [ 300, 450) |                                 0 | ########                       10
 [ 450, 600) |                                 0 | ##                              3
 [ 600, 750) | #                               1 | ####################           27
 [ 750, 900) |                                 0 | ######                          8
 [1200,1350) |                                 0 | ############                   16
 [1500,1650) |                                 0 | #################              23
 [1650,1800) | ##                              3 | ####                            5
 [1800,1950) |                                 0 | #                               1
 [1950,2100) | ##                              3 | #                               1
 [2100,2250) |                                 0 | ###                             4
 [2250,2400) | #########                      12 |                                 0
 [2550,2700) | ######                          8 |                                 0
 [2700,2850) | ########                       10 |                                 0
 [2850,3000) | ########                       10 |                                 0
 [3150,3300) | ######################################## 53 |                                 0

=== seed1  (bin width=150 gx, all 100 episodes incl. clears at right edge marked F) ===
         bin | PEAK                                       | FINAL                                     
 [ 300, 450) |                                 0 | ####                            4
 [ 600, 750) | ###                             3 | ######                          6
 [ 750, 900) | #                               1 | #                               1
 [1200,1350) | ##########                     10 | #############                  13
 [1500,1650) | ####                            4 | ##############                 14
 [1650,1800) | #                               1 | #############                  13
 [1800,1950) | #                               1 | ####                            4
 [1950,2100) |                                 0 | #######################        22
 [2100,2250) |                                 0 | ###                             3
 [2250,2400) | ##                              2 | ######                          6
 [2550,2700) | ######################################## 39 | ###                             3
 [2700,2850) |                                 0 | ##                              2
 [2850,3000) | ########                        8 | ####                            4
 [3150,3300) | ################################ 31 | #####                           5

=== seed2  (bin width=150 gx, all 100 episodes incl. clears at right edge marked F) ===
         bin | PEAK                                       | FINAL                                     
 [ 300, 450) | #########                       8 | ################               15
 [ 600, 750) | ####                            4 | ##########                      9
 [ 750, 900) |                                 0 | ##############                 13
 [1200,1350) | #########                       8 | ##################################### 34
 [1500,1650) | #####                           5 | ############                   11
 [1650,1800) | ############                   11 | ######                          6
 [1800,1950) | #                               1 | #                               1
 [1950,2100) | ###                             3 | ######                          6
 [2100,2250) | ##                              2 | ##                              2
 [2250,2400) | #                               1 | ###                             3
 [2550,2700) | ##################             17 |                                 0
 [2700,2850) | #                               1 |                                 0
 [2850,3000) | ##                              2 |                                 0
 [3150,3300) | ######################################## 37 |                                 0

=== seed3  (bin width=150 gx, all 100 episodes incl. clears at right edge marked F) ===
         bin | PEAK                                       | FINAL                                     
 [ 300, 450) |                                 0 | ####                            7
 [ 600, 750) |                                 0 | ##############                 24
 [ 750, 900) | #                               1 | ###                             5
 [ 900,1050) |                                 0 | #                               2
 [1200,1350) | #                               1 | #################              28
 [1500,1650) | ##                              4 | #####                           9
 [1650,1800) | #                               2 | ##                              3
 [1800,1950) | #                               2 | #                               1
 [1950,2100) | ##                              3 | #######                        11
 [2100,2250) | #                               1 | #                               2
 [2250,2400) | #                               1 | ##                              3
 [2550,2700) | ####                            7 | #                               1
 [2700,2850) |                                 0 | #                               1
 [2850,3000) | #######                        11 |                                 0
 [3150,3300) | ######################################## 67 | ##                              3
