run,iter,trunk_dim,srank_delta01,srank_frac_of_trunk,participation_ratio,pr_frac_of_trunk,mean_feature_norm,top_sigma
mario_1_1_v27_recovery_seed0,10,32,9,0.28125,2.8056,0.0877,23.4357,372.0286
mario_1_1_v27_recovery_seed0,20,32,8,0.25,2.7553,0.0861,28.8622,459.4084
mario_1_1_v27_recovery_seed0,30,32,8,0.25,2.3421,0.0732,31.5131,508.8281
mario_1_1_v27_recovery_seed0,40,32,8,0.25,2.5832,0.0807,34.5032,508.08
mario_1_1_v27_recovery_seed0,50,32,8,0.25,2.4214,0.0757,35.9737,553.3089
mario_1_1_v27_recovery_seed0,60,32,8,0.25,2.5408,0.0794,37.4992,577.9445
mario_1_1_v27_recovery_seed0,70,32,8,0.25,2.9428,0.092,37.5275,571.2405
mario_1_1_v27_recovery_seed0,80,32,10,0.3125,2.8908,0.0903,35.0713,550.678
mario_1_1_v27_recovery_seed0,90,32,13,0.40625,2.9635,0.0926,25.3855,535.5752
mario_1_1_v27_recovery_seed0,100,32,11,0.34375,4.2747,0.1336,31.7488,448.9862
mario_1_1_v27_recovery_seed0,110,32,11,0.34375,3.9422,0.1232,34.2695,478.0712
mario_1_1_v27_recovery_seed0,120,32,12,0.375,3.464,0.1083,30.8699,526.4084
mario_1_1_v27_recovery_seed0,130,32,13,0.40625,3.2843,0.1026,28.0358,523.939
mario_1_1_v27_recovery_seed0,140,32,13,0.40625,3.6943,0.1154,29.9768,496.2639
mario_1_1_v27_recovery_seed0,150,32,15,0.46875,2.9092,0.0909,25.2323,532.5494
mario_1_1_v27_recovery_seed0,160,32,14,0.4375,4.4456,0.1389,29.591,455.9291
mario_1_1_v27_recovery_seed0,170,32,14,0.4375,4.3153,0.1349,28.8549,473.3847
mario_1_1_v27_recovery_seed0,180,32,14,0.4375,4.467,0.1396,30.6839,474.4937
mario_1_1_v27_recovery_seed0,190,32,15,0.46875,4.4552,0.1392,30.5125,487.4618
mario_1_1_v27_recovery_seed0,200,32,15,0.46875,4.4952,0.1405,31.2699,480.9852
mario_1_1_v27_recovery_seed0,210,32,15,0.46875,4.3114,0.1347,31.5952,468.999
mario_1_1_v27_recovery_seed0,220,32,16,0.5,4.2531,0.1329,31.6359,496.1681
mario_1_1_v27_recovery_seed0,230,32,15,0.46875,4.0402,0.1263,32.9796,490.4066
mario_1_1_v27_recovery_seed0,240,32,15,0.46875,3.8051,0.1189,33.0105,510.3659
mario_1_1_v27_recovery_seed1,10,32,10,0.3125,3.1877,0.0996,21.6412,340.0922
mario_1_1_v27_recovery_seed1,20,32,10,0.3125,3.4712,0.1085,21.7133,378.9883
mario_1_1_v27_recovery_seed1,30,32,9,0.28125,2.8109,0.0878,31.79,465.598
mario_1_1_v27_recovery_seed1,40,32,9,0.28125,2.6094,0.0815,34.5249,524.4936
mario_1_1_v27_recovery_seed1,50,32,9,0.28125,2.8327,0.0885,36.4197,530.6172
mario_1_1_v27_recovery_seed1,60,32,10,0.3125,2.7042,0.0845,35.9795,568.0972
mario_1_1_v27_recovery_seed1,70,32,10,0.3125,2.7969,0.0874,38.0395,551.2572
mario_1_1_v27_recovery_seed1,80,32,9,0.28125,2.6469,0.0827,39.0434,569.7043
mario_1_1_v27_recovery_seed1,90,32,10,0.3125,3.0731,0.096,37.8137,566.2869
mario_1_1_v27_recovery_seed1,100,32,10,0.3125,2.3764,0.0743,33.3234,664.5707
mario_1_1_v27_recovery_seed1,110,32,10,0.3125,2.6949,0.0842,36.5477,578.8223
mario_1_1_v27_recovery_seed1,120,32,10,0.3125,2.3394,0.0731,32.3469,661.6384
mario_1_1_v27_recovery_seed1,130,32,11,0.34375,2.9655,0.0927,35.9246,582.954
mario_1_1_v27_recovery_seed1,140,32,11,0.34375,2.8847,0.0901,33.4573,595.9919
mario_1_1_v27_recovery_seed1,150,32,11,0.34375,2.5263,0.0789,33.8466,649.8143
mario_1_1_v27_recovery_seed1,160,32,12,0.375,2.2395,0.07,30.3565,671.6435
mario_1_1_v27_recovery_seed1,170,32,12,0.375,2.9763,0.093,32.1502,605.3854
mario_1_1_v27_recovery_seed1,180,32,13,0.40625,2.7852,0.087,34.4664,578.566
mario_1_1_v27_recovery_seed1,190,32,13,0.40625,2.608,0.0815,28.1957,621.2089
mario_1_1_v27_recovery_seed1,200,32,14,0.4375,3.2487,0.1015,33.4627,544.9489
mario_1_1_v27_recovery_seed1,210,32,14,0.4375,3.0738,0.0961,30.5771,575.4373
mario_1_1_v27_recovery_seed1,220,32,14,0.4375,3.0336,0.0948,29.7621,570.1068
mario_1_1_v27_recovery_seed1,230,32,14,0.4375,2.7031,0.0845,30.1938,620.5516
mario_1_1_v27_recovery_seed1,240,32,15,0.46875,2.783,0.087,28.5814,593.3409
mario_1_1_v27_recovery_seed2,10,32,9,0.28125,2.9353,0.0917,23.0834,364.6515
mario_1_1_v27_recovery_seed2,20,32,9,0.28125,1.8806,0.0588,28.4151,484.8836
mario_1_1_v27_recovery_seed2,30,32,10,0.3125,2.1229,0.0663,32.5113,458.7475
mario_1_1_v27_recovery_seed2,40,32,9,0.28125,1.8949,0.0592,36.2116,530.3021
mario_1_1_v27_recovery_seed2,50,32,9,0.28125,2.1084,0.0659,37.4265,552.2626
mario_1_1_v27_recovery_seed2,60,32,9,0.28125,2.1728,0.0679,38.579,562.738
mario_1_1_v27_recovery_seed2,70,32,9,0.28125,2.1613,0.0675,38.3838,560.3082
mario_1_1_v27_recovery_seed2,80,32,8,0.25,2.234,0.0698,39.1528,580.5367
mario_1_1_v27_recovery_seed2,90,32,8,0.25,2.2947,0.0717,39.4025,568.0278
mario_1_1_v27_recovery_seed2,100,32,8,0.25,2.202,0.0688,39.8438,574.5294
mario_1_1_v27_recovery_seed2,110,32,8,0.25,2.4705,0.0772,40.1665,578.7449
mario_1_1_v27_recovery_seed2,120,32,8,0.25,2.5178,0.0787,40.0627,590.0278
mario_1_1_v27_recovery_seed2,130,32,8,0.25,2.5776,0.0805,39.9079,578.8232
mario_1_1_v27_recovery_seed2,140,32,8,0.25,2.6588,0.0831,40.3595,573.1295
mario_1_1_v27_recovery_seed2,150,32,9,0.28125,2.4455,0.0764,40.334,591.5054
mario_1_1_v27_recovery_seed2,160,32,9,0.28125,2.4513,0.0766,40.3748,592.7411
mario_1_1_v27_recovery_seed2,170,32,9,0.28125,2.4311,0.076,39.7994,601.0297
mario_1_1_v27_recovery_seed2,180,32,13,0.40625,3.2736,0.1023,30.7569,515.0847
mario_1_1_v27_recovery_seed2,190,32,14,0.4375,3.6236,0.1132,31.9701,493.8372
mario_1_1_v27_recovery_seed2,200,32,16,0.5,3.5734,0.1117,27.2231,492.4352
mario_1_1_v27_recovery_seed2,210,32,15,0.46875,3.3895,0.1059,30.7334,490.6706
mario_1_1_v27_recovery_seed2,220,32,16,0.5,2.8643,0.0895,30.2039,515.8931
mario_1_1_v27_recovery_seed2,230,32,15,0.46875,3.0113,0.0941,31.3633,520.489
mario_1_1_v27_recovery_seed2,240,32,14,0.4375,2.9614,0.0925,32.6323,518.6337
mario_1_1_v27_recovery_seed3,10,32,11,0.34375,3.2245,0.1008,22.0343,337.2073
mario_1_1_v27_recovery_seed3,20,32,11,0.34375,3.0843,0.0964,25.8882,403.315
mario_1_1_v27_recovery_seed3,30,32,11,0.34375,2.6147,0.0817,32.3466,447.6742
