run,seed,iter,completed_eps,mean_return,mean_len,in_progress,ip_return,ip_len,clears,loss,policy_loss,value_loss,entropy,at_entrance,tau,tau_max,trail_rate,trail_n,trail_d,ent_rate,ent_n,ent_d,truncated
v27,0,0,140,676.5,324.1,60,490.6,267.7,123,4.4059,0.0937,17.2669,1.7808,False,744,784,1.0,2,2,0.0,0,4,0
v27,0,1,149,660.3,299.6,60,715.1,280.0,121,4.5652,-0.0676,18.5525,1.7513,False,664,784,0.0,0,30,0.0,0,7,13
v27,0,2,236,508.9,191.8,60,798.9,269.6,81,4.4084,-0.0282,17.7656,1.7194,False,584,784,0.03,1,30,0.0,0,10,31
v27,0,3,189,665.7,257.9,60,577.2,211.5,52,4.3886,0.0202,17.4945,1.6905,False,504,784,0.0,0,30,0.0,0,17,55
v27,0,4,265,582.4,185.1,60,687.4,206.6,43,5.4336,0.0195,21.6743,1.658,False,424,784,0.0,0,30,0.0,0,24,99
v27,0,5,502,424.2,97.9,60,791.5,204.8,35,8.3728,-0.1137,33.9571,1.5954,False,424,784,0.1,3,30,0.0,0,43,147
v27,0,6,806,357.8,67.6,60,547.0,115.9,21,9.5692,0.0895,37.9274,1.5755,False,384,784,0.03,1,30,0.0,0,67,189
v27,0,7,731,359.9,69.2,60,812.4,181.2,25,12.2468,0.0762,48.6894,1.5568,False,384,784,0.03,1,30,0.0,0,91,244
v27,0,8,612,420.8,88.7,60,623.0,119.1,11,8.6219,-0.0525,34.7075,1.5832,False,344,784,0.07,2,30,0.01,1,102,293
v27,0,9,626,345.4,90.5,60,431.4,80.1,4,6.7665,-0.0621,27.326,1.5919,False,304,784,0.0,0,30,0.009,1,114,347
v27,0,10,618,371.8,90.8,60,422.1,88.7,6,7.4618,0.0725,29.5704,1.5908,False,304,784,0.0,0,30,0.008,1,130,405
v27,0,11,627,376.1,89.9,60,481.2,84.8,3,10.0786,-0.0629,40.577,1.546,False,304,784,0.0,0,30,0.007,1,142,462
v27,0,12,608,416.9,94.0,60,415.1,71.2,6,6.8555,-0.0414,27.6,1.5551,False,304,784,0.0,0,30,0.006,1,159,520
v27,0,13,583,445.9,98.6,60,373.0,66.1,6,10.2182,0.0687,40.6075,1.5103,False,304,784,0.03,1,30,0.006,1,173,579
v27,0,14,552,466.0,98.7,60,654.4,116.2,7,8.316,-0.0324,33.4052,1.5381,False,304,784,0.0,0,30,0.005,1,184,638
v27,0,15,444,624.0,123.6,60,651.2,109.4,7,9.5727,0.0378,38.1481,1.4922,False,264,784,0.0,0,30,0.005,1,194,692
v27,0,16,459,602.3,113.6,60,837.5,155.1,9,11.0584,0.0248,44.1453,1.4622,False,264,784,0.0,0,30,0.005,1,200,749
v27,0,17,467,592.9,114.1,60,705.2,135.8,7,10.4566,-0.1369,42.3814,1.3893,False,224,784,0.0,0,30,0.005,1,215,801
v27,0,18,474,628.0,113.8,60,747.2,124.7,7,12.5517,0.0704,49.934,1.3682,False,224,784,0.0,0,30,0.004,1,232,856
v27,0,19,430,692.2,125.9,60,675.3,121.6,10,9.1784,-0.0203,36.8038,1.3463,False,224,784,0.0,0,30,0.004,1,244,913
v27,0,20,375,747.2,134.3,60,962.7,184.6,14,10.4715,-0.061,42.1387,1.3266,False,224,784,0.07,2,30,0.004,1,248,969
v27,0,21,374,737.3,135.9,60,919.5,177.1,14,12.4074,-0.139,50.1938,1.3004,False,184,784,0.0,0,30,0.004,1,257,1021
v27,0,22,322,850.0,165.3,60,762.2,136.7,11,11.1753,-0.0398,44.8657,1.2503,False,104,784,0.0,0,4,0.004,1,267,1073
v27,0,23,331,853.9,151.3,60,1026.3,189.1,14,12.0216,0.0202,48.0113,1.2443,False,104,784,0.07,2,30,0.004,1,273,1131
v27,0,24,359,868.5,141.9,60,1073.4,174.8,5,12.2454,-0.0155,49.0507,1.2497,False,64,784,0.0,0,30,0.004,1,282,1183
v27,0,25,363,828.8,139.8,60,1022.9,178.0,8,13.5769,0.0785,54.0016,1.2234,False,64,784,0.07,2,30,0.003,1,288,1240
v27,0,26,351,913.2,146.5,60,1041.1,166.9,8,12.5288,-0.0518,50.3309,1.2549,False,24,784,0.03,1,30,0.003,1,300,1295
v27,0,27,326,1017.4,157.2,60,1033.5,169.8,5,12.5843,-0.0571,50.5753,1.2513,False,24,784,0.07,2,30,0.003,1,309,1351
v27,0,28,312,1017.2,155.5,60,1370.9,215.6,6,14.3069,0.066,56.9743,1.2473,False,24,784,0.03,1,30,0.003,1,325,1408
v27,0,29,257,1083.3,172.3,60,1590.0,286.0,13,8.7943,-0.1085,35.6221,1.2225,False,0,784,0.03,1,30,0.007,3,447,1463
v27,0,30,271,1105.7,172.1,60,1393.6,246.5,11,10.7152,-0.0195,42.9499,1.206,False,0,784,0.03,1,30,0.015,9,583,1513
v27,0,31,255,1112.8,175.8,60,1451.2,276.7,14,10.1351,-0.0311,40.6747,1.1409,False,0,784,0.03,1,30,0.018,13,705,1563
v27,0,32,263,1235.6,194.2,60,1106.4,172.8,6,10.8745,-0.0383,43.6636,1.1629,False,0,784,0.0,0,30,0.026,22,853,1611
v27,0,33,245,1223.8,191.4,60,1357.4,242.6,18,11.3473,0.0128,45.3502,1.1449,False,0,784,0.1,3,30,0.029,29,984,1670
