run,generation,avg_fitness,best_fitness,success_rate,episodes,vanilla_ppo_clears,approx_mean_ep_len,ppo_entropy
v27_seed0,30,1105.7128298713712,4072.2109375,0.04059040590405904,271,11,226.71586715867159,1.2059698104858398
v27_seed0,31,1112.8482207055185,3957.75048828125,0.054901960784313725,255,14,240.94117647058823,1.140861988067627
v27_seed0,32,1235.5511024968253,3925.2509765625,0.022813688212927757,263,6,233.61216730038024,1.1628953218460083
v27_seed0,33,1223.819729551977,4244.783203125,0.07346938775510205,245,18,250.77551020408163,1.1448620557785034
v27_seed0,34,1288.5206522493281,4141.54345703125,0.05555555555555555,234,13,262.56410256410254,1.1259524822235107
v27_seed0,35,1351.8016817193281,4085.961669921875,0.07017543859649122,228,16,269.4736842105263,1.0525726079940796
v27_seed0,36,1368.4106370103302,4243.76708984375,0.08056872037914692,211,17,291.18483412322274,1.0580928325653076
v27_seed0,37,1407.2516069232292,4243.7900390625,0.0660377358490566,212,14,289.811320754717,1.0477728843688965
v27_seed0,38,1407.9009405091751,4156.8134765625,0.09767441860465116,215,21,285.7674418604651,0.9815990924835205
v27_seed0,39,1460.7089291276602,4297.5615234375,0.08866995073891626,203,18,302.6600985221675,1.0144853591918945
v27_seed0,40,1677.4998779296875,4144.822265625,0.13793103448275862,174,24,353.1034482758621,0.955450177192688
v27_seed0,41,1592.643938455237,4296.5029296875,0.20481927710843373,166,34,370.12048192771084,0.9935159683227539
v27_seed0,42,1379.549716970774,4293.31201171875,0.18994413407821228,179,34,343.24022346368713,0.9002273678779602
v27_seed0,43,1646.3061867209042,4308.23193359375,0.19411764705882353,170,33,361.4117647058824,0.9548588991165161
v27_seed0,44,1593.5421080072242,4155.75537109375,0.18674698795180722,166,31,370.12048192771084,0.9429055452346802
v27_seed0,45,1595.7442383163277,4150.0126953125,0.20114942528735633,174,35,353.1034482758621,0.8717554807662964
v27_seed0,46,1690.9215961324758,4302.7431640625,0.25517241379310346,145,37,423.7241379310345,0.8643757104873657
v27_seed0,47,1602.5302595307555,4319.4775390625,0.2468354430379747,158,39,388.8607594936709,0.849174976348877
v27_seed0,48,1624.6278296250564,4315.72119140625,0.25,156,39,393.84615384615387,0.8156019449234009
v27_seed0,49,1780.0873866860384,4364.3701171875,0.22875816993464052,153,35,401.5686274509804,0.8132929801940918
v27_seed0,50,1824.4442487276517,4310.53955078125,0.3,130,39,472.61538461538464,0.7808772325515747
v27_seed0,51,1724.0359117780413,4433.83740234375,0.25,140,35,438.85714285714283,0.7951607704162598
v27_seed0,52,1889.3474778483685,4333.33544921875,0.2932330827067669,133,39,461.9548872180451,0.7807612419128418
v27_seed0,53,2370.4834222702752,4527.6884765625,0.44761904761904764,105,47,585.1428571428571,0.7737111449241638
v27_seed0,54,2102.748443282278,4520.2041015625,0.5263157894736842,95,50,646.7368421052631,0.7565306425094604
v27_seed0,55,1828.2343913258374,4314.068359375,0.2867132867132867,143,41,429.65034965034965,0.6812006831169128
v27_seed0,56,2006.6262702941895,4366.28369140625,0.39166666666666666,120,47,512.0,0.6443829536437988
v27_seed0,57,2085.8310737941574,4529.31005859375,0.40869565217391307,115,47,534.2608695652174,0.6664793491363525
v27_seed0,58,2218.405033042214,4403.8134765625,0.43636363636363634,110,48,558.5454545454545,0.7020666003227234
v27_seed0,59,2129.862714441811,4529.6376953125,0.34146341463414637,123,42,499.5121951219512,0.6748650670051575
v27_seed0,60,2266.9477256108257,4527.3955078125,0.5145631067961165,103,53,596.504854368932,0.6135563254356384
v27_seed0,61,2124.133943890213,4451.2861328125,0.4954128440366973,109,54,563.6697247706422,0.6579350233078003
v27_seed0,62,2054.3574692773036,4524.9287109375,0.4016393442622951,122,49,503.60655737704917,0.5912057161331177
v27_seed0,63,2088.7207701416014,4363.48388671875,0.376,125,47,491.52,0.5311443209648132
v27_seed0,64,2244.9500861890388,4546.86083984375,0.5454545454545454,99,54,620.6060606060606,0.5479595065116882
v27_seed0,65,2328.161312421163,4403.81005859375,0.5625,96,54,640.0,0.5560672283172607
v27_seed0,66,2466.4010845820108,4404.80078125,0.5104166666666666,96,49,640.0,0.5030864477157593
v27_seed0,67,2156.2921365591196,4876.79541015625,0.46153846153846156,104,48,590.7692307692307,0.4937284588813782
v27_seed0,68,2144.785844058082,4556.140625,0.4666666666666667,105,49,585.1428571428571,0.5936195850372314
v27_seed0,69,2338.601598851821,4527.888671875,0.46078431372549017,102,47,602.3529411764706,0.5946657061576843
v27_seed0,70,2222.932640008167,4369.2890625,0.415929203539823,113,47,543.7168141592921,0.5285608768463135
v27_seed0,71,2007.4514454603195,4317.34814453125,0.34375,128,44,480.0,0.5415063500404358
v27_seed0,72,1922.8643491391783,4505.7666015625,0.3037037037037037,135,41,455.1111111111111,0.5502294898033142
v27_seed0,73,1949.4715853713628,4318.14794921875,0.36220472440944884,127,46,483.7795275590551,0.5471750497817993
v27_seed0,74,1981.0870222061399,4540.86767578125,0.36507936507936506,126,46,487.6190476190476,0.5094613432884216
v27_seed0,75,1975.1466304722117,5045.29736328125,0.3208955223880597,134,43,458.5074626865672,0.46612676978111267
v27_seed0,76,1725.3055593827191,4422.3125,0.3014705882352941,136,41,451.7647058823529,0.46270912885665894
v27_seed0,77,1986.1815958831269,4301.30029296875,0.4152542372881356,118,49,520.6779661016949,0.48996466398239136
v27_seed0,78,1944.2781381112559,4422.7353515625,0.31851851851851853,135,43,455.1111111111111,0.5110782384872437
v27_seed0,79,1953.1416608727498,4303.88037109375,0.34782608695652173,115,40,534.2608695652174,0.46604734659194946
v27_seed0,80,1719.2703036023424,4350.0927734375,0.24675324675324675,154,38,398.961038961039,0.4560531675815582
v27_seed0,81,1694.15414488943,4318.51904296875,0.2631578947368421,152,40,404.2105263157895,0.44766321778297424
v27_seed0,82,1790.5576162957525,4320.7578125,0.24025974025974026,154,37,398.961038961039,0.4014599919319153
v27_seed0,83,2073.538135490795,4356.2705078125,0.40594059405940597,101,41,608.3168316831683,0.4048466384410858
v27_seed0,84,1680.6103591918945,4309.70849609375,0.325,120,39,512.0,0.41349440813064575
v27_seed0,85,1527.0368788371713,4146.833984375,0.17829457364341086,129,23,476.27906976744185,0.4076139032840729
v27_seed0,86,1405.925942036643,4317.12841796875,0.1865671641791045,134,25,458.5074626865672,0.40393078327178955
v27_seed0,87,1295.8510489908854,4188.26513671875,0.14,150,21,409.6,0.4010229706764221
v27_seed0,88,1292.8691920979818,4129.51513671875,0.18,150,27,409.6,0.3557019531726837
v27_seed0,89,1364.7612086386575,4177.05712890625,0.145985401459854,137,20,448.46715328467155,0.36849701404571533
v27_seed0,90,1471.9986935515901,4317.45849609375,0.208955223880597,134,28,458.5074626865672,0.34783512353897095
v27_seed0,91,1306.9437321254186,4121.28466796875,0.18045112781954886,133,24,461.9548872180451,0.3024389147758484
v27_seed0,92,1346.5112371381545,4343.6943359375,0.152317880794702,151,23,406.887417218543,0.3545234799385071
v27_seed0,93,1338.2066934800007,4188.564453125,0.11834319526627218,169,20,363.55029585798815,0.3528202772140503
v27_seed0,94,1330.2746685336094,4116.75244140625,0.09937888198757763,161,16,381.6149068322981,0.37284207344055176
v27_seed0,95,1301.168404523064,4318.45751953125,0.11029411764705882,136,15,451.7647058823529,0.3611292839050293
v27_seed0,96,1255.6616851992724,4144.2041015625,0.08536585365853659,164,14,374.6341463414634,0.32557904720306396
v27_seed0,97,1369.051511806912,4167.427734375,0.08333333333333333,180,15,341.3333333333333,0.3438482880592346
v27_seed0,98,1247.0822315010973,4192.80615234375,0.12903225806451613,186,24,330.3225806451613,0.33576688170433044
v27_seed0,99,1407.996517248321,4375.35498046875,0.1695906432748538,171,29,359.29824561403507,0.3278350234031677
v27_seed0,100,1611.8980647495814,4607.08203125,0.2785714285714286,140,39,438.85714285714283,0.3729146420955658
v27_seed0,101,1459.2670846914316,4739.771484375,0.18181818181818182,154,28,398.961038961039,0.292664498090744
v27_seed0,102,1299.6131064891815,4283.24072265625,0.13020833333333334,192,25,320.0,0.30214011669158936
v27_seed0,103,1468.4423221588136,4534.41015625,0.2125,160,34,384.0,0.3149715065956116
v27_seed0,104,1411.4461671706529,4549.4072265625,0.17543859649122806,171,30,359.29824561403507,0.2736002206802368
v27_seed0,105,1409.0398448222393,4348.78662109375,0.20270270270270271,148,30,415.13513513513516,0.24730443954467773
v27_seed0,106,1616.4101520592058,4302.7763671875,0.2535211267605634,142,36,432.67605633802816,0.25903114676475525
v27_seed0,107,1396.6163945978337,4334.39208984375,0.2,165,33,372.3636363636364,0.2311078906059265
v27_seed0,108,1461.8334809387622,4442.80615234375,0.24489795918367346,147,36,417.9591836734694,0.21889269351959229
v27_seed0,109,1577.3317843675613,4391.95849609375,0.3203125,128,41,480.0,0.29210972785949707
v27_seed0,110,1745.592348692847,4605.78173828125,0.3442622950819672,122,42,503.60655737704917,0.23266255855560303
v27_seed0,111,1717.3910696340163,4318.767578125,0.3178294573643411,129,41,476.27906976744185,0.2157425433397293
v27_seed0,112,1514.5046618877013,4351.37255859375,0.17791411042944785,163,29,376.9325153374233,0.20099863409996033
v27_seed0,113,1424.3741461969191,4521.15869140625,0.22580645161290322,155,35,396.38709677419354,0.2065347135066986
v27_seed0,114,1433.356688817342,4699.78125,0.2361111111111111,144,34,426.6666666666667,0.1810893714427948
v27_seed0,115,1288.0098866549406,4376.64306640625,0.14772727272727273,176,26,349.09090909090907,0.21105465292930603
v27_seed0,116,1236.7249299754267,4365.40380859375,0.10326086956521739,184,19,333.9130434782609,0.16293711960315704
v27_seed0,117,1235.2648691595557,4435.7705078125,0.10695187165775401,187,20,328.5561497326203,0.1433064341545105
v27_seed0,118,1355.4064730130708,4390.67529296875,0.17307692307692307,156,27,393.84615384615387,0.15475815534591675
v27_seed0,119,1167.729639399237,4337.767578125,0.06735751295336788,193,13,318.3419689119171,0.16260957717895508
v27_seed0,120,1301.282113791923,4351.58349609375,0.1301775147928994,169,22,363.55029585798815,0.18774057924747467
v27_seed0,121,1277.1644876045093,4358.23046875,0.12280701754385964,171,21,359.29824561403507,0.23584383726119995
v27_seed0,122,1307.1147465647002,4263.41455078125,0.12962962962962962,162,21,379.25925925925924,0.20896229147911072
v27_seed0,123,1275.525640466711,4491.77783203125,0.1043956043956044,182,19,337.5824175824176,0.21891552209854126
v27_seed0,124,1266.4550073062671,4160.78369140625,0.11764705882352941,170,20,361.4117647058824,0.20452305674552917
v27_seed0,125,1117.4402349562872,4310.978515625,0.07936507936507936,189,15,325.07936507936506,0.1854275017976761
v27_seed0,126,1036.5134879467535,4152.40380859375,0.07352941176470588,204,15,301.1764705882353,0.1923215687274933
v27_seed0,127,967.1022971911308,4301.7509765625,0.06666666666666667,195,13,315.0769230769231,0.20014555752277374
v27_seed0,128,1070.676947331083,3909.33203125,0.06763285024154589,207,14,296.81159420289856,0.21920375525951385
v27_seed0,129,1191.9086074416703,4291.89306640625,0.08108108108108109,185,15,332.1081081081081,0.1752592921257019
v27_seed0,130,1180.8534718718977,4669.7705078125,0.09392265193370165,181,17,339.4475138121547,0.15911699831485748
