run,iter,tau,tau_max,trailing_succ,trailing_n,trailing_rate,at_entrance,entrance_succ_cum,entrance_n_cum,entrance_rate_cum,truncated_cum
v27_seed0,0,744,784,2,2,1.0,False,0,4,0.0,0
v27_seed0,1,664,784,0,30,0.0,False,0,7,0.0,13
v27_seed0,2,584,784,1,30,0.03,False,0,10,0.0,31
v27_seed0,3,504,784,0,30,0.0,False,0,17,0.0,55
v27_seed0,4,424,784,0,30,0.0,False,0,24,0.0,99
v27_seed0,5,424,784,3,30,0.1,False,0,43,0.0,147
v27_seed0,6,384,784,1,30,0.03,False,0,67,0.0,189
v27_seed0,7,384,784,1,30,0.03,False,0,91,0.0,244
v27_seed0,8,344,784,2,30,0.07,False,1,102,0.01,293
v27_seed0,9,304,784,0,30,0.0,False,1,114,0.009,347
v27_seed0,10,304,784,0,30,0.0,False,1,130,0.008,405
v27_seed0,11,304,784,0,30,0.0,False,1,142,0.007,462
v27_seed0,12,304,784,0,30,0.0,False,1,159,0.006,520
v27_seed0,13,304,784,1,30,0.03,False,1,173,0.006,579
v27_seed0,14,304,784,0,30,0.0,False,1,184,0.005,638
v27_seed0,15,264,784,0,30,0.0,False,1,194,0.005,692
v27_seed0,16,264,784,0,30,0.0,False,1,200,0.005,749
v27_seed0,17,224,784,0,30,0.0,False,1,215,0.005,801
v27_seed0,18,224,784,0,30,0.0,False,1,232,0.004,856
v27_seed0,19,224,784,0,30,0.0,False,1,244,0.004,913
v27_seed0,20,224,784,2,30,0.07,False,1,248,0.004,969
v27_seed0,21,184,784,0,30,0.0,False,1,257,0.004,1021
v27_seed0,22,104,784,0,4,0.0,False,1,267,0.004,1073
v27_seed0,23,104,784,2,30,0.07,False,1,273,0.004,1131
v27_seed0,24,64,784,0,30,0.0,False,1,282,0.004,1183
v27_seed0,25,64,784,2,30,0.07,False,1,288,0.003,1240
v27_seed0,26,24,784,1,30,0.03,False,1,300,0.003,1295
v27_seed0,27,24,784,2,30,0.07,False,1,309,0.003,1351
v27_seed0,28,24,784,1,30,0.03,False,1,325,0.003,1408
