run,iter,metric_name,metric_value
v27_seed0,30,entrance_trailing_rate,0.2667
v27_seed0,40,entrance_trailing_rate,0.4
v27_seed0,50,entrance_trailing_rate,0.6333
v27_seed0,60,entrance_trailing_rate,0.8667
v27_seed1,30,entrance_trailing_rate,0.2333
v27_seed1,40,entrance_trailing_rate,0.6
v27_seed1,50,entrance_trailing_rate,0.9333
v27_seed2,30,entrance_trailing_rate,0.3667
v27_seed2,40,entrance_trailing_rate,0.6
v27_seed2,50,entrance_trailing_rate,0.7667
v27_seed2,60,entrance_trailing_rate,0.9333
v27_seed2,80,entrance_trailing_rate,0.9667
v27_seed2,90,entrance_trailing_rate,1.0
v27_seed3,30,entrance_trailing_rate,0.3
v27_seed3,40,entrance_trailing_rate,0.7333
v27_seed3,50,entrance_trailing_rate,0.8667
v27_seed3,60,entrance_trailing_rate,0.9667
v28_seed0,30,entrance_trailing_rate,0.2667
v28_seed0,40,entrance_trailing_rate,0.7
v28_seed0,50,entrance_trailing_rate,0.8667
v28_seed0,70,entrance_trailing_rate,0.9667
v28_seed1,30,entrance_trailing_rate,0.3667
v28_seed1,40,entrance_trailing_rate,0.7667
v28_seed1,50,entrance_trailing_rate,0.9
v28_seed1,60,entrance_trailing_rate,0.9667
v28_seed2,30,entrance_trailing_rate,0.3667
v28_seed2,40,entrance_trailing_rate,0.6
v28_seed2,50,entrance_trailing_rate,0.7333
v28_seed2,60,entrance_trailing_rate,0.8
v28_seed2,70,entrance_trailing_rate,0.9333
v28_seed2,120,entrance_trailing_rate,0.9667
v28_seed3,30,entrance_trailing_rate,0.3
v28_seed3,40,entrance_trailing_rate,0.7
v28_seed3,50,entrance_trailing_rate,0.9
v28_seed3,80,entrance_trailing_rate,0.9667
v28_seed3,90,entrance_trailing_rate,1.0
