
=== v27_seed0  (peak_iter=60, honest_peak=0.04) ===
 iter     vloss     ploss   entropy  succ_rate
    0    17.267    0.0937    1.7808     0.8786
   10    29.570    0.0725    1.5908     0.0097
   20    42.139   -0.0610    1.3266     0.0373
   30    42.950   -0.0195    1.2060     0.0406
   40    31.332   -0.0074    0.9555     0.1379
   50    41.993    0.0512    0.7809     0.3000
   60    27.249    0.0271    0.6136     0.5146 <-- PEAK
   70    26.728   -0.0520    0.5286     0.4159
   80    36.526    0.1330    0.4561     0.2468
   90    45.206    0.1064    0.3478     0.2090
  100    25.257    0.0290    0.3729     0.2786
  110    29.331   -0.0161    0.2327     0.3443
  120    42.626    0.1001    0.1877     0.1302
  130    44.852   17.4078    0.1591     0.0939
  140    33.053    0.0249    0.1725     0.0427
  150    40.477    0.0629    0.1506     0.0497
  160    29.490    0.0865    0.1340     0.0275
  170    32.892    0.0111    0.1742     0.0377
  180    26.691    0.0116    0.1042     0.0299
  190    28.000    0.0438    0.1109     0.0226
  200    30.113    0.0968    0.1067     0.0103
  210    27.129   -0.0098    0.0885     0.0156
  220    21.159    0.0267    0.0842     0.0336
  230    21.481    0.0080    0.0606     0.0791
  240    28.663    0.0295    0.0500     0.0217

=== v27_seed1  (peak_iter=50, honest_peak=0.29) ===
 iter     vloss     ploss   entropy  succ_rate
    0    17.236    0.0788    1.7819     0.8779
   10    29.973    0.0227    1.6522     0.0063
   20    41.662    0.0468    1.4093     0.0328
   30    53.001    0.0015    1.2686     0.0776
   40    35.993    0.0932    1.0019     0.2941
   50    19.030   -0.0339    0.9723     0.7037 <-- PEAK
   60    28.173    0.0661    0.7068     0.5200
   70    13.909   -0.0060    0.6518     0.7733
   80    15.913    0.0391    0.6343     0.7273
   90    29.654   -0.0107    0.4746     0.5773
  100    20.177   -0.0626    0.3851     0.5684
  110    30.818    0.0078    0.3675     0.3729
  120    37.685    0.0584    0.2913     0.3680
  130    33.203   -0.0649    0.2420     0.2157
  140    38.048   -0.0058    0.2347     0.2643
