run,iter,pooled_honest_greedy_n100
mario_1_1_v28_capacity_seed0,10,0.000
mario_1_1_v28_capacity_seed0,20,0.000
mario_1_1_v28_capacity_seed0,30,0.020
mario_1_1_v28_capacity_seed0,40,0.020
mario_1_1_v28_capacity_seed0,50,0.220
mario_1_1_v28_capacity_seed0,60,0.450
mario_1_1_v28_capacity_seed0,70,0.450
mario_1_1_v28_capacity_seed0,80,0.480
mario_1_1_v28_capacity_seed0,90,0.640
mario_1_1_v28_capacity_seed0,100,0.510
mario_1_1_v28_capacity_seed0,110,0.470
mario_1_1_v28_capacity_seed0,120,0.310
mario_1_1_v28_capacity_seed0,130,0.340
mario_1_1_v28_capacity_seed0,140,0.410
mario_1_1_v28_capacity_seed0,150,0.350
mario_1_1_v28_capacity_seed0,160,0.290
mario_1_1_v28_capacity_seed0,170,0.160
mario_1_1_v28_capacity_seed0,180,0.010
mario_1_1_v28_capacity_seed0,190,0.010
mario_1_1_v28_capacity_seed0,200,0.000
mario_1_1_v28_capacity_seed0,210,0.010
mario_1_1_v28_capacity_seed0,220,0.000
mario_1_1_v28_capacity_seed0,230,0.000
mario_1_1_v28_capacity_seed0,240,0.000
mario_1_1_v28_capacity_seed1,10,0.000
mario_1_1_v28_capacity_seed1,20,0.000
mario_1_1_v28_capacity_seed1,30,0.000
mario_1_1_v28_capacity_seed1,40,0.160
mario_1_1_v28_capacity_seed1,50,0.470
mario_1_1_v28_capacity_seed1,60,0.230
mario_1_1_v28_capacity_seed1,70,0.440
mario_1_1_v28_capacity_seed1,80,0.440
mario_1_1_v28_capacity_seed1,90,0.590
mario_1_1_v28_capacity_seed1,100,0.270
mario_1_1_v28_capacity_seed1,110,0.570
mario_1_1_v28_capacity_seed1,120,0.580
mario_1_1_v28_capacity_seed1,130,0.550
mario_1_1_v28_capacity_seed1,140,0.130
mario_1_1_v28_capacity_seed1,150,0.070
mario_1_1_v28_capacity_seed1,160,0.080
mario_1_1_v28_capacity_seed1,170,0.000
mario_1_1_v28_capacity_seed1,180,0.000
mario_1_1_v28_capacity_seed1,190,0.000
mario_1_1_v28_capacity_seed1,200,0.000
mario_1_1_v28_capacity_seed1,210,0.000
mario_1_1_v28_capacity_seed1,220,0.020
mario_1_1_v28_capacity_seed1,230,0.020
mario_1_1_v28_capacity_seed1,240,0.050
mario_1_1_v28_capacity_seed2,10,0.000
mario_1_1_v28_capacity_seed2,20,0.000
mario_1_1_v28_capacity_seed2,30,0.000
mario_1_1_v28_capacity_seed2,40,0.000
mario_1_1_v28_capacity_seed2,50,0.120
mario_1_1_v28_capacity_seed2,60,0.090
mario_1_1_v28_capacity_seed2,70,0.240
mario_1_1_v28_capacity_seed2,80,0.380
mario_1_1_v28_capacity_seed2,90,0.580
mario_1_1_v28_capacity_seed2,100,0.260
mario_1_1_v28_capacity_seed2,110,0.280
mario_1_1_v28_capacity_seed2,120,0.370
mario_1_1_v28_capacity_seed2,130,0.100
mario_1_1_v28_capacity_seed2,140,0.060
mario_1_1_v28_capacity_seed2,150,0.060
mario_1_1_v28_capacity_seed2,160,0.020
mario_1_1_v28_capacity_seed2,170,0.010
mario_1_1_v28_capacity_seed2,180,0.000
mario_1_1_v28_capacity_seed2,190,0.000
mario_1_1_v28_capacity_seed2,200,0.000
mario_1_1_v28_capacity_seed2,210,0.000
mario_1_1_v28_capacity_seed2,220,0.000
mario_1_1_v28_capacity_seed2,230,0.000
mario_1_1_v28_capacity_seed2,240,0.000
mario_1_1_v28_capacity_seed3,10,0.000
mario_1_1_v28_capacity_seed3,20,0.000
mario_1_1_v28_capacity_seed3,30,0.000
mario_1_1_v28_capacity_seed3,40,0.420
mario_1_1_v28_capacity_seed3,50,0.460
mario_1_1_v28_capacity_seed3,60,0.410
mario_1_1_v28_capacity_seed3,70,0.300
mario_1_1_v28_capacity_seed3,80,0.720
mario_1_1_v28_capacity_seed3,90,0.670
mario_1_1_v28_capacity_seed3,100,0.630
mario_1_1_v28_capacity_seed3,110,0.460
mario_1_1_v28_capacity_seed3,120,0.330
mario_1_1_v28_capacity_seed3,130,0.360
mario_1_1_v28_capacity_seed3,140,0.190
mario_1_1_v28_capacity_seed3,150,0.030
mario_1_1_v28_capacity_seed3,160,0.040
mario_1_1_v28_capacity_seed3,170,0.000
mario_1_1_v28_capacity_seed3,180,0.000
mario_1_1_v28_capacity_seed3,190,0.000
mario_1_1_v28_capacity_seed3,200,0.000
mario_1_1_v28_capacity_seed3,210,0.010
mario_1_1_v28_capacity_seed3,220,0.000
mario_1_1_v28_capacity_seed3,230,0.020
mario_1_1_v28_capacity_seed3,240,0.000
